match_id,round,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,team_id
98,9,0,0,,0,,0,0,0,0,0,BRA041
98,9,0,0,,0,,0,0,0,0,0,BRA005
99,9,0,0,,0,,0,0,0,0,0,BRA031
99,9,0,0,,0,,0,0,0,0,0,BRA040
100,9,0,0,,0,,0,0,0,0,0,BRA007
100,9,0,0,,0,,0,0,0,0,0,BRA035
101,9,0,0,,0,,0,0,0,0,0,BRA003
101,9,0,0,,0,,0,0,0,0,0,BRA028
102,9,0,0,,0,,0,0,0,0,0,BRA016
102,9,0,0,,0,,0,0,0,0,0,BRA044
103,9,0,0,,0,,0,0,0,0,0,BRA018
103,9,0,0,,0,,0,0,0,0,0,BRA015
104,9,0,0,,0,,0,0,0,0,0,BRA023
104,9,0,0,,0,,0,0,0,0,0,BRA024
105,9,0,0,,0,,0,0,0,0,0,BRA025
105,9,0,0,,0,,0,0,0,0,0,BRA036
106,9,0,0,,0,,0,0,0,0,0,BRA045
106,9,0,0,,0,,0,0,0,0,0,BRA017
107,9,0,0,,0,,0,0,0,0,0,BRA021
107,9,0,0,,0,,0,0,0,0,0,BRA027
108,9,0,0,,0,,0,0,0,0,0,BRA042
108,9,0,0,,0,,0,0,0,0,0,BRA034
109,10,0,0,,0,,0,0,0,0,0,BRA005
109,10,0,0,,0,,0,0,0,0,0,BRA022
110,10,0,0,,0,,0,0,0,0,0,BRA034
110,10,0,0,,0,,0,0,0,0,0,BRA041
111,10,0,0,,0,,0,0,0,0,0,BRA031
111,10,0,0,,0,,0,0,0,0,0,BRA015
112,10,0,0,,0,,0,0,0,0,0,BRA036
112,10,0,0,,0,,0,0,0,0,0,BRA044
113,10,0,0,,0,,0,0,0,0,0,BRA003
113,10,0,0,,0,,0,0,0,0,0,BRA021
114,10,0,0,,0,,0,0,0,0,0,BRA016
114,10,0,0,,0,,0,0,0,0,0,BRA035
115,10,0,0,,0,,0,0,0,0,0,BRA017
115,10,0,0,,0,,0,0,0,0,0,BRA024
116,10,0,0,,0,,0,0,0,0,0,BRA042
116,10,0,0,,0,,0,0,0,0,0,BRA025
117,10,0,0,,0,,0,0,0,0,0,BRA027
117,10,0,0,,0,,0,0,0,0,0,BRA023
118,10,0,0,,0,,0,0,0,0,0,BRA007
118,10,0,0,,0,,0,0,0,0,0,BRA020
119,10,0,0,,0,,0,0,0,0,0,BRA018
119,10,0,0,,0,,0,0,0,0,0,BRA045
